Date,Open,High,Low,Close,Adj Close,Volume
2022-08-22,3365.000000,3384.100098,3347.399902,3354.550049,3246.807373,1536532
2022-08-23,3319.949951,3341.899902,3270.000000,3284.600098,3179.104004,1849256
2022-08-24,3292.000000,3308.000000,3250.199951,3255.350098,3150.793701,1691923
2022-08-25,3276.000000,3278.149902,3214.750000,3218.199951,3114.836670,1946930
2022-08-26,3234.300049,3257.000000,3216.800049,3222.199951,3118.708008,1457962
2022-08-29,3125.000000,3142.699951,3081.000000,3132.550049,3031.937744,2539173
2022-08-30,3155.000000,3226.500000,3142.100098,3211.149902,3108.012939,3431525
2022-09-01,3190.000000,3190.000000,3121.000000,3131.699951,3031.114746,3546935
2022-09-02,3163.000000,3163.000000,3120.300049,3130.399902,3029.856445,2052900
2022-09-05,3123.649902,3147.949951,3112.250000,3133.399902,3032.760010,2147912
2022-09-06,3135.500000,3140.850098,3106.350098,3127.050049,3026.614258,1936453
2022-09-07,3102.000000,3161.899902,3102.000000,3149.600098,3048.440186,1291534
2022-09-08,3170.000000,3183.500000,3160.100098,3169.649902,3067.845459,1346113
2022-09-09,3195.000000,3233.500000,3168.500000,3217.649902,3114.303955,1561185
2022-09-12,3239.899902,3269.800049,3225.000000,3242.949951,3138.791504,1785928
2022-09-13,3263.449951,3263.449951,3225.000000,3229.350098,3125.628174,1972678
2022-09-14,3135.000000,3141.399902,3113.800049,3120.399902,3020.177490,5090269
2022-09-15,3130.000000,3137.750000,3100.000000,3104.350098,3004.643311,2138023
2022-09-16,3076.000000,3094.350098,3000.000000,3008.699951,2912.065430,5322221
2022-09-19,3036.000000,3042.000000,2987.800049,3028.800049,2931.519775,2072220
2022-09-20,3050.000000,3079.949951,3030.000000,3040.300049,2942.650391,1544295
2022-09-21,3028.000000,3041.399902,2998.149902,3001.199951,2904.805908,2253818
2022-09-22,2990.000000,3029.949951,2979.300049,3007.399902,2910.806885,2017983
2022-09-23,3004.000000,3022.500000,2979.000000,2982.050049,2886.271240,2652374
2022-09-26,2959.850098,3025.850098,2926.100098,2994.399902,2898.224365,2925489
2022-09-27,3009.399902,3025.000000,2976.000000,3017.449951,2920.534180,2227447
2022-09-28,2980.000000,3049.949951,2980.000000,3035.649902,2938.149658,2739767
2022-09-29,3054.000000,3055.850098,2990.000000,2997.300049,2901.031494,2493902
2022-09-30,2990.850098,3019.699951,2950.100098,3004.550049,2908.048828,2817353
2022-10-03,2995.000000,3020.699951,2974.000000,2984.949951,2889.077881,1763331
2022-10-04,3029.949951,3098.000000,3023.000000,3091.149902,2991.866943,2145875
2022-10-06,3111.000000,3124.000000,3092.449951,3101.949951,3002.320313,1790816
2022-10-07,3097.399902,3105.000000,3058.100098,3064.899902,2966.460205,1939879
2022-10-10,3010.000000,3127.000000,3005.000000,3118.550049,3018.386963,3064063
2022-10-11,3100.000000,3145.000000,3053.350098,3069.550049,2970.960938,4730645
2022-10-12,3084.899902,3109.899902,3062.050049,3100.750000,3001.158691,1665247
2022-10-13,3100.750000,3110.000000,3052.350098,3103.300049,3003.626953,2054781
2022-10-14,3145.000000,3150.000000,3071.000000,3099.149902,2999.610107,2245977
2022-10-17,3072.649902,3128.399902,3071.449951,3111.750000,3019.600098,1517005
2022-10-18,3150.000000,3155.350098,3128.550049,3144.699951,3051.574463,1793722
2022-10-19,3159.000000,3159.000000,3112.000000,3121.850098,3029.401123,1194289
2022-10-20,3105.000000,3160.000000,3105.000000,3157.300049,3063.801270,1587601
2022-10-21,3157.800049,3160.399902,3127.000000,3137.399902,3044.490479,1021913
2022-10-24,3170.100098,3178.000000,3155.000000,3161.699951,3068.070801,260949
2022-10-25,3180.500000,3184.250000,3151.149902,3162.100098,3068.458984,2069643
2022-10-27,3160.699951,3174.000000,3134.350098,3157.399902,3063.898438,2438421
2022-10-28,3150.000000,3178.500000,3145.000000,3163.250000,3069.574951,1355739
2022-10-31,3199.000000,3199.000000,3177.800049,3193.149902,3098.589355,1919414
2022-11-01,3214.500000,3262.600098,3203.449951,3259.699951,3163.168945,2991060
2022-11-02,3270.000000,3270.000000,3222.050049,3241.699951,3145.701904,1405955
2022-11-03,3228.050049,3228.050049,3195.000000,3206.750000,3111.786865,1422652
2022-11-04,3217.000000,3220.050049,3166.149902,3217.399902,3122.121338,1464013
2022-11-07,3229.000000,3242.800049,3195.100098,3233.699951,3137.938721,1474498
2022-11-09,3249.800049,3249.800049,3201.649902,3216.050049,3120.811523,1162267
2022-11-10,3170.000000,3225.000000,3170.000000,3205.649902,3110.719482,1573092
2022-11-11,3269.600098,3341.600098,3255.050049,3315.949951,3217.753174,3265394
2022-11-14,3324.000000,3349.000000,3309.000000,3335.500000,3236.724121,1342074
2022-11-15,3321.000000,3339.949951,3292.000000,3332.600098,3233.910156,1400708
2022-11-16,3338.899902,3367.899902,3321.449951,3355.350098,3255.986572,1748235
2022-11-17,3340.000000,3360.000000,3317.750000,3349.000000,3249.824463,1417986
2022-11-18,3350.000000,3362.750000,3321.000000,3343.449951,3244.438721,1164540
2022-11-21,3322.500000,3333.699951,3273.000000,3283.500000,3186.264160,1304194
2022-11-22,3280.000000,3318.949951,3255.250000,3314.949951,3216.782715,1149739
2022-11-23,3330.000000,3330.000000,3291.000000,3308.300049,3210.329590,1150011
2022-11-24,3316.250000,3392.949951,3308.300049,3380.149902,3280.052002,1296591
2022-11-25,3383.000000,3403.350098,3348.000000,3389.649902,3289.270264,1588981
2022-11-28,3366.000000,3417.000000,3365.550049,3395.250000,3294.704834,2195437
2022-11-29,3383.000000,3429.000000,3383.000000,3397.350098,3296.742676,1576028
2022-11-30,3383.000000,3414.899902,3375.000000,3390.800049,3290.386719,3410702
2022-12-01,3425.000000,3480.000000,3420.000000,3475.649902,3372.723633,2180856
2022-12-02,3458.100098,3468.899902,3413.000000,3439.149902,3337.304688,2411749
2022-12-05,3433.000000,3439.149902,3407.000000,3425.899902,3324.447021,1475065
2022-12-06,3400.050049,3407.949951,3368.000000,3385.350098,3285.098145,1166999
2022-12-07,3368.300049,3393.699951,3354.000000,3380.600098,3280.488525,1167505
2022-12-08,3360.000000,3380.600098,3339.449951,3350.550049,3251.328613,1285619
2022-12-09,3374.100098,3374.100098,3276.350098,3292.750000,3195.239990,1797896
2022-12-12,3255.500000,3296.000000,3236.100098,3286.449951,3189.126709,1527610
2022-12-13,3277.199951,3336.449951,3267.800049,3332.100098,3233.424805,1378016
2022-12-14,3348.800049,3377.000000,3340.899902,3365.350098,3265.690186,1213311
2022-12-15,3358.800049,3364.750000,3298.949951,3305.100098,3207.224365,1415694
2022-12-16,3275.000000,3292.000000,3225.199951,3240.250000,3144.294922,2703680
2022-12-19,3227.000000,3245.500000,3194.500000,3202.050049,3107.226074,2120965
2022-12-20,3198.899902,3249.000000,3163.649902,3243.949951,3147.885010,1529971
2022-12-21,3249.000000,3283.050049,3240.000000,3268.550049,3171.756836,1432566
2022-12-22,3294.000000,3294.000000,3245.100098,3259.699951,3163.168945,1384101
2022-12-23,3217.000000,3266.850098,3217.000000,3228.350098,3132.747559,1360281
2022-12-26,3228.350098,3272.000000,3225.050049,3252.899902,3156.570068,870157
2022-12-27,3269.199951,3273.800049,3231.500000,3259.500000,3162.975098,835883
2022-12-28,3249.800049,3266.100098,3226.000000,3257.100098,3160.645996,910795
2022-12-29,3231.100098,3271.500000,3228.000000,3268.750000,3171.950684,1037927
2022-12-30,3286.050049,3299.000000,3246.199951,3256.699951,3160.257813,1163131
2023-01-02,3261.000000,3266.850098,3235.199951,3261.449951,3164.866943,709547
2023-01-03,3252.000000,3320.000000,3245.300049,3311.350098,3213.289551,1245178
2023-01-04,3306.699951,3327.350098,3286.199951,3314.649902,3216.491455,1231668
2023-01-05,3330.199951,3337.300049,3281.949951,3311.100098,3213.046631,1826057
2023-01-06,3300.000000,3301.550049,3200.000000,3211.550049,3116.444824,2488376
2023-01-09,3229.000000,3327.000000,3221.149902,3319.949951,3221.634521,2885060
2023-01-10,3285.000000,3298.000000,3230.100098,3286.399902,3189.078125,3864655
2023-01-11,3290.100098,3349.500000,3271.149902,3328.699951,3230.125488,2720512
2023-01-12,3329.000000,3350.000000,3315.550049,3334.350098,3235.608154,2250391
2023-01-13,3342.899902,3379.000000,3305.000000,3374.550049,3274.617920,1742837
2023-01-16,3317.000000,3353.000000,3298.050049,3334.050049,3300.853760,1843607
2023-01-17,3330.000000,3381.800049,3321.000000,3378.399902,3344.761963,1688475
2023-01-18,3380.000000,3408.949951,3372.250000,3390.000000,3356.246826,2421189
2023-01-19,3380.000000,3387.000000,3361.000000,3373.100098,3339.515137,1585044
2023-01-20,3365.000000,3394.649902,3355.600098,3363.100098,3329.614746,1529349
2023-01-23,3388.000000,3419.000000,3355.600098,3414.899902,3380.898926,1067916
2023-01-24,3425.000000,3451.949951,3417.300049,3436.300049,3402.085938,1387863
2023-01-25,3425.300049,3435.000000,3405.000000,3429.750000,3395.601074,874110
2023-01-27,3426.000000,3446.000000,3382.300049,3411.050049,3377.087158,1785879
2023-01-30,3420.000000,3458.449951,3385.550049,3433.649902,3399.462158,1953798
2023-01-31,3449.000000,3449.000000,3351.000000,3358.699951,3325.258301,2820375
2023-02-01,3363.000000,3419.000000,3355.000000,3408.350098,3374.414307,2205161
2023-02-02,3427.000000,3469.000000,3420.100098,3460.399902,3425.945801,1813847
2023-02-03,3504.000000,3504.000000,3452.899902,3482.300049,3447.627930,1804469
2023-02-06,3473.149902,3473.149902,3436.850098,3459.949951,3425.500244,1138714
2023-02-07,3468.899902,3493.000000,3461.399902,3472.550049,3437.975098,1455647
